Company Name,Index,CALENDAR_YEAR,CALENDAR_QTR,USD_Value,Local_Currency,VAL_UNIT,Local_Value
Amazon,Cost of Goods Sold,2020,Q1,44257,USD,Million,44257
Amazon,Operating Expense,2020,Q1,71463,USD,Million,71463
Amazon,Operating Income,2020,Q1,3989,USD,Million,3989
Amazon,Revenue,2020,Q1,75452,USD,Million,75452
Amazon,Tax Expense,2020,Q1,744,USD,Million,744
Amazon,Total Asset,2020,Q1,221238,USD,Million,221238
Amazon,Cost of Goods Sold,2020,Q2,52660,USD,Million,52660
Amazon,Operating Expense,2020,Q2,83069,USD,Million,83069
Amazon,Operating Income,2020,Q2,5843,USD,Million,5843
Amazon,Revenue,2020,Q2,88912,USD,Million,88912
Amazon,Tax Expense,2020,Q2,984,USD,Million,984
Amazon,Total Asset,2020,Q2,258314,USD,Million,258314
Amazon,Cost of Goods Sold,2020,Q3,57106,USD,Million,57106
Amazon,Operating Expense,2020,Q3,89951,USD,Million,89951
Amazon,Operating Income,2020,Q3,6194,USD,Million,6194
Amazon,Revenue,2020,Q3,96145,USD,Million,96145
Amazon,Tax Expense,2020,Q3,569,USD,Million,569
Amazon,Total Asset,2020,Q3,282179,USD,Million,282179
Amazon,Cost of Goods Sold,2020,Q4,79284,USD,Million,79284
Amazon,Operating Expense,2020,Q4,118682,USD,Million,118682
Amazon,Operating Income,2020,Q4,6873,USD,Million,6873
Amazon,Revenue,2020,Q4,125555,USD,Million,125555
Amazon,Tax Expense,2020,Q4,566,USD,Million,566
Amazon,Total Asset,2020,Q4,321195,USD,Million,321195
Amazon,Cost of Goods Sold,2021,Q1,62403,USD,Million,62403
Amazon,Operating Expense,2021,Q1,99653,USD,Million,99653
Amazon,Operating Income,2021,Q1,8865,USD,Million,8865
Amazon,Revenue,2021,Q1,108518,USD,Million,108518
Amazon,Tax Expense,2021,Q1,2156,USD,Million,2156
Amazon,Total Asset,2021,Q1,323077,USD,Million,323077
Amazon,Cost of Goods Sold,2021,Q2,64176,USD,Million,64176
Amazon,Operating Expense,2021,Q2,105378,USD,Million,105378
Amazon,Operating Income,2021,Q2,7702,USD,Million,7702
Amazon,Revenue,2021,Q2,113080,USD,Million,113080
Amazon,Tax Expense,2021,Q2,868,USD,Million,868
Amazon,Total Asset,2021,Q2,360319,USD,Million,360319
Amazon,Cost of Goods Sold,2021,Q3,62930,USD,Million,62930
Amazon,Operating Expense,2021,Q3,105960,USD,Million,105960
Amazon,Operating Income,2021,Q3,4852,USD,Million,4852
Amazon,Revenue,2021,Q3,110812,USD,Million,110812
Amazon,Tax Expense,2021,Q3,1155,USD,Million,1155
Amazon,Total Asset,2021,Q3,382406,USD,Million,382406
Amazon,Cost of Goods Sold,2021,Q4,82835,USD,Million,82835
Amazon,Operating Expense,2021,Q4,133952,USD,Million,133952
Amazon,Operating Income,2021,Q4,3460,USD,Million,3460
Amazon,Revenue,2021,Q4,137412,USD,Million,137412
Amazon,Tax Expense,2021,Q4,612,USD,Million,612
Amazon,Total Asset,2021,Q4,420549,USD,Million,420549
Amazon,Cost of Goods Sold,2022,Q1,66499,USD,Million,66499
Amazon,Operating Expense,2022,Q1,112775,USD,Million,112775
Amazon,Operating Income,2022,Q1,3669,USD,Million,3669
Amazon,Revenue,2022,Q1,116444,USD,Million,116444
Amazon,Tax Expense,2022,Q1,-1422,USD,Million,-1422
Amazon,Total Asset,2022,Q1,410767,USD,Million,410767
Amazon,Cost of Goods Sold,2022,Q2,66424,USD,Million,66424
Amazon,Operating Expense,2022,Q2,117917,USD,Million,117917
Amazon,Operating Income,2022,Q2,3317,USD,Million,3317
Amazon,Revenue,2022,Q2,121234,USD,Million,121234
Amazon,Tax Expense,2022,Q2,-637,USD,Million,-637
Amazon,Total Asset,2022,Q2,419728,USD,Million,419728
Amazon,Cost of Goods Sold,2022,Q3,70268,USD,Million,70268
Amazon,Operating Expense,2022,Q3,124576,USD,Million,124576
Amazon,Operating Income,2022,Q3,2525,USD,Million,2525
Amazon,Revenue,2022,Q3,127101,USD,Million,127101
Amazon,Tax Expense,2022,Q3,69,USD,Million,69
