Company Name,CALENDAR_YEAR,CALENDAR_QTR,Transcript_Filename
Amazon,2020,Q1,"Amazon.com, Inc. (NASDAQ AMZN) Q1 2020 Earnings Conference Call"
Amazon,2020,Q2,"Amazon.com, Inc. (NASDAQ AMZN) Q2 2020 Earnings Conference Call"
Amazon,2020,Q3,"Amazon.com, Inc. (NASDAQ AMZN) Q3 2020 Earnings Conference Call"
Amazon,2020,Q4,"Amazon.com, Inc. (NASDAQ AMZN) Q4 2020 Earnings Conference Call"
Amazon,2021,Q1,"Amazon.com, Inc. (NASDAQ AMZN) Q1 2021 Earnings Conference Call"
Amazon,2021,Q2,"Amazon.com, Inc. (NASDAQ AMZN) Q2 2021 Results Conference Call"
Amazon,2021,Q3,"Amazon.com, Inc. (NASDAQ AMZN) Q3 2021 Earnings Conference Call"
Amazon,2021,Q4,"Amazon.com, Inc. (NASDAQ AMZN) Q4 2021 Earnings Conference Call"
Amazon,2022,Q1,"Amazon.com, Inc. (NASDAQ AMZN) Q1 2022 Earnings Conference Call"
Amazon,2022,Q2,"Amazon.com, Inc. (NASDAQ AMZN) Q2 2022 Earnings Conference Call"
Amazon,2022,Q3,"Amazon.com, Inc. (NASDAQ AMZN) Q3 2022 Earnings Conference Call"
Amazon,2022,Q4,"Amazon.com, Inc. (NASDAQ AMZN) Q4 2022 Earnings Conference Call"
Amazon,2023,Q1,"Amazon.com, Inc. (NASDAQ AMZN) Q1 2023 Results Conference Call"
Amazon,2023,Q2,"Amazon.com, Inc. (NASDAQ AMZN) Q2 2023 Earnings Conference Call"
Amazon,2023,Q3,"Amazon.com, Inc. (NASDAQ AMZN) Q3 2023 Earnings Conference Call"
Amazon,2023,Q4,"Amazon.com, Inc. (NASDAQ AMZN) Q4 2023 Earnings Conference Call"
Amazon,2024,Q1,"Amazon.com, Inc. (NASDAQ AMZN) Q1 2024 Earnings Conference Call"
Amazon,2024,Q2,"Amazon.com, Inc. (NASDAQ AMZN) Q2 2024 Earnings Conference Call"
Amazon,2024,Q3,"Amazon.com, Inc. (NASDAQ AMZN) Q3 2024 "
AMD,2020,Q1,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q1 2020 Earnings Conference Call"
AMD,2020,Q2,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q2 2020 Earnings Conference Call"
AMD,2020,Q3,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q3 2020 Earnings Conference Call"
AMD,2020,Q4,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q4 2020 Earnings Conference Call"
AMD,2021,Q1,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q1 2021 Results Conference Call"
AMD,2021,Q2,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q2 2021 Earnings Conference Call"
AMD,2021,Q3,"Advanced Micro Devices, Inc. (NASDAQ AMD)  Q3 2021 Earnings Conference Call"
AMD,2021,Q4,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q4 2021 Earnings Conference Call"
AMD,2022,Q1,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q1 2022 Earnings Conference Call"
AMD,2022,Q2,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q2 2022 Earnings Conference Call"
AMD,2022,Q3,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q3 2022 Earnings Conference Call"
AMD,2022,Q4,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q4 2022 Earnings Conference Call"
AMD,2023,Q1,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q1 2023 Earnings Conference Call"
AMD,2023,Q2,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q2 2023 Earnings Conference Call"
AMD,2023,Q3,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q3 2023 Earnings Conference Call"
AMD,2023,Q4,"Advanced Micro Devices, Inc. (NASDAQ AMD) Q4 2023 Earnings Conference Call"
